model,case,seasonal_pattern,sha256
GRU,NR,Daily,8a87c70223ae2a7b8b7192e8c9a137ee4d0990814245c201a20caff98fe251b1
GRU,NR,Hourly,27e1646dba18ca465b0a216a090e7482d9525535d6b1014761ea3f2b5694ad87
GRU,RN,Yearly,adaf52fb0b77897826c8f99dd9033e9f30fc55968610474275f27b05d12ccb3d
GRU,RN,Quarterly,9ce524d69fbd0043fe180414460cfb133551181e4553a4b0ef0e141be6bda2d7
GRU,RN,Monthly,24a74f297dc78593336fad82c26be2254bbeb3b4edff0560f179a4e114d2dd54
GRU,RN,Weekly,603f99cf51050140e28fa653d15a27228e9625c1eb678ac3dfcb4d514ec15e1e
GRU,RN,Daily,305b7f0a750cccccd29ab4906101bfd1d4720e60f3be84d8ee5957b80af3e720
GRU,RN,Hourly,d3b18d4e48477263faef34a014242d348aa9ab71f0890d73672ab311c8f552a3
GRU,RR,Yearly,adaf52fb0b77897826c8f99dd9033e9f30fc55968610474275f27b05d12ccb3d
GRU,RR,Quarterly,9ce524d69fbd0043fe180414460cfb133551181e4553a4b0ef0e141be6bda2d7
GRU,RR,Monthly,24a74f297dc78593336fad82c26be2254bbeb3b4edff0560f179a4e114d2dd54
GRU,RR,Weekly,6c65877a1d82783a5f0925bd81cb16da7758e1551144b62802eb83f3e227bf24
GRU,RR,Daily,305b7f0a750cccccd29ab4906101bfd1d4720e60f3be84d8ee5957b80af3e720
GRU,RR,Hourly,d3b18d4e48477263faef34a014242d348aa9ab71f0890d73672ab311c8f552a3
PatchTST,NN,Yearly,4f24a7a379911c00e34c6d2224d8ab7c4ae4e4e777ba44fbaba1dd95602876ba
PatchTST,NN,Quarterly,fe802431fcec4d64b4c542eb760588f63496c8ee4b48c9148303353af5628c64
PatchTST,NN,Monthly,82f702161a6e6a46d2a8b134fdd34274a8ac72f68f1638670b9bb2f1d814b0c6
PatchTST,NN,Weekly,2570e245853219de522ea0b649720ffa6d2732c0013eb85159a060bcd632231e
PatchTST,NN,Daily,9dc33079de944f445050e3b9e10ea789a27d172c3362736ab2b6c8eb34570b68
PatchTST,NN,Hourly,ed715c210a67373bf42ef36157730cfe3c8cdfab97cf2db8fd529c19264e58f1
PatchTST,NR,Yearly,4f24a7a379911c00e34c6d2224d8ab7c4ae4e4e777ba44fbaba1dd95602876ba
PatchTST,NR,Quarterly,fe802431fcec4d64b4c542eb760588f63496c8ee4b48c9148303353af5628c64
PatchTST,NR,Monthly,60b0b0872fd851deeffff01e4fab686f55338805e1ca722c862531f9049dd974
PatchTST,NR,Weekly,2570e245853219de522ea0b649720ffa6d2732c0013eb85159a060bcd632231e
PatchTST,NR,Daily,9dc33079de944f445050e3b9e10ea789a27d172c3362736ab2b6c8eb34570b68
PatchTST,NR,Hourly,8220c225a28be4a16221644d7cb90dcd4af07537c320fd7e424eb31acf9e153e
PatchTST,RN,Yearly,7bcbe8a18e73a7c87d0f9affa286a3eb326aa1bc5a6a7b5570ddb0192ce0e28a
PatchTST,RN,Quarterly,229b22cf5ae2c78befd782dcd57473b9c422ce6a131ef28c8354f76848ac6394
PatchTST,RN,Monthly,545e9779af593a6420dddcc026780ce453b809cdb6096c8ba59283370a8e9027
PatchTST,RN,Weekly,a96e633312dd43c51fbfca0aac80ece2d8670465fb555ac621574e655512cb55
PatchTST,RN,Daily,89e6458312a06c8f5af64de8d4cebb39f65203b6022c64eae3f6af51842ea6a0
PatchTST,RN,Hourly,81773df3fd604baece0daf42d540411925db22bf1fefa9f8f3c851d21a5359a7
PatchTST,RR,Yearly,7bcbe8a18e73a7c87d0f9affa286a3eb326aa1bc5a6a7b5570ddb0192ce0e28a
PatchTST,RR,Quarterly,229b22cf5ae2c78befd782dcd57473b9c422ce6a131ef28c8354f76848ac6394
PatchTST,RR,Monthly,545e9779af593a6420dddcc026780ce453b809cdb6096c8ba59283370a8e9027
PatchTST,RR,Weekly,a96e633312dd43c51fbfca0aac80ece2d8670465fb555ac621574e655512cb55
PatchTST,RR,Daily,89e6458312a06c8f5af64de8d4cebb39f65203b6022c64eae3f6af51842ea6a0
PatchTST,RR,Hourly,bbf53cbb0c31a1470d0d31ae1875854c66c27a5243b0e3580cc2d8971e8da5b5
TimeFilter,NN,Yearly,ea2c85235ac8b8a63d3fa7ddb3d22520abb2b6ada92b184641e92db2cfbb8a1e
TimeFilter,NN,Quarterly,6cab1fada8fd2a5da2485cebb26093d68f413070f82b8bbea9225ae5095d713b
TimeFilter,NN,Monthly,a25466d190340f00230bc7e0245efe0808fda106a3ef9fd1bf340de792d48bdd
TimeFilter,NN,Weekly,a89a79013cc1cee31afbb0ed80481c52b17493d40c2a437c5b2b7f850098c016
TimeFilter,NN,Daily,a60240ae782c8eff1ac4c0ee8040ab46d50254111267524a0954a91998dd8fd5
TimeFilter,NN,Hourly,1a017427bf32a155c9b756d5ca1500f9935596de63caab46753391659fad38cc
TimeFilter,NR,Yearly,ea2c85235ac8b8a63d3fa7ddb3d22520abb2b6ada92b184641e92db2cfbb8a1e
TimeFilter,NR,Quarterly,6cab1fada8fd2a5da2485cebb26093d68f413070f82b8bbea9225ae5095d713b
TimeFilter,NR,Monthly,2ff413754f4cb763aace883531a0ae9f99d3217a1783b577e33075df72a412c9
TimeFilter,NR,Weekly,a89a79013cc1cee31afbb0ed80481c52b17493d40c2a437c5b2b7f850098c016
TimeFilter,NR,Daily,a60240ae782c8eff1ac4c0ee8040ab46d50254111267524a0954a91998dd8fd5
TimeFilter,NR,Hourly,1a017427bf32a155c9b756d5ca1500f9935596de63caab46753391659fad38cc
TimeFilter,RN,Yearly,989dbbe62bf58bdb6ad102bfece9b675cfc72406f37b7a20a58cc9a946b8ec98
TimeFilter,RN,Quarterly,c2e461303275211ceacce87df2aca5db6928928b2d6c6f14e1be760643e03b7f
TimeFilter,RN,Monthly,01bd4675cd557a3fa327b3ea4df6df90ec9be854d7d8bc04158bec2fb0b94be9
TimeFilter,RN,Weekly,1194d3d50402f8d11a3d6b2dab0d63926c25e7a6fcd177881e89df4c5c362793
TimeFilter,RN,Daily,2b3ec326abfe58d8fb0ca85625391a8ae5658f1efb06d796358162c932539d3c
TimeFilter,RN,Hourly,83324f62c8c3070307c2f90b89bd0b914f1119a4b5d2b60e703958711c7c9fb3
TimeFilter,RR,Yearly,989dbbe62bf58bdb6ad102bfece9b675cfc72406f37b7a20a58cc9a946b8ec98
TimeFilter,RR,Quarterly,c2e461303275211ceacce87df2aca5db6928928b2d6c6f14e1be760643e03b7f
TimeFilter,RR,Monthly,01bd4675cd557a3fa327b3ea4df6df90ec9be854d7d8bc04158bec2fb0b94be9
TimeFilter,RR,Weekly,1194d3d50402f8d11a3d6b2dab0d63926c25e7a6fcd177881e89df4c5c362793
TimeFilter,RR,Daily,2b3ec326abfe58d8fb0ca85625391a8ae5658f1efb06d796358162c932539d3c
TimeFilter,RR,Hourly,d0962f5906af9783357631b5156c138bb6d99f2002cc952ca7166a36dde50ade
TimeMixer,NN,Yearly,18ad89d88fcd4580f14c57c0df432af34fafc363e6c647234aca1872fa8acdfe
TimeMixer,NN,Quarterly,dc67ad94f28afd61755043f1afcf9d1401e6d49c3714e6892d87cd37c3eb6809
TimeMixer,NN,Monthly,cdc16ace277f5945bbf4b7906be28805d8da9c55a7572cdb95da11cae4fb9214
TimeMixer,NN,Weekly,f26959b411400862b73c2f358fb8622ebdccd23ef4eab52bf0c15d719e263fc5
TimeMixer,NN,Daily,e7f5503f4fdd6745e5448442fe0af97227250ceb60206b57a3f31e68fec9df38
TimeMixer,NN,Hourly,9e2e50da1b3f7d542e30c43a8c18f878c2378bf802184e05c5d3c7775a3cde24
TimeMixer,NR,Yearly,792f4f3f93176bc62e1508d60a155b46bbf5b09089a889059982cc62bfadf8d0
TimeMixer,NR,Quarterly,b0d3fbe80e2d41013e2b21b02c9bd469889fefb1c6dc2d2806b8b8446981228f
TimeMixer,NR,Monthly,1ec5a6fb32116ee22c3ff28c030f5d30a237f1f0dbbd79442ffb53f74fd8c8fd
TimeMixer,NR,Weekly,f26959b411400862b73c2f358fb8622ebdccd23ef4eab52bf0c15d719e263fc5
TimeMixer,NR,Daily,32ab4a7916dc7e413c50eb3ff6302c886fc2ea60724294126c71e4647938c834
TimeMixer,NR,Hourly,284bcd7cc0b53afa250d7b8aff18f1a18d21d768731d5c1aebf3109a601d23e6
TimeMixer,RN,Yearly,373c736adb6f50a51e1c5caa6840abcf8135b2aa0c921e20ea009d7c029e9fa0
TimeMixer,RN,Quarterly,be0722fc87f90303e593bc7e5351918b32cf7765c831f980ca2fe75f52f8f94e
TimeMixer,RN,Monthly,3b7476e47bfebb2697601228b5da22f412c3bbd43226b48d3f5663f63e242adb
TimeMixer,RN,Weekly,cd2425d535bbebbbf0a2a7195386766dda96b38e3e31cce32d65f41551fb389e
TimeMixer,RN,Daily,4ee105ab9eeda4ce3edd27381c8077f910ed075da374f8317f3b0d2b69bc14a9
TimeMixer,RN,Hourly,a4870e8c87442ffcfcf9c1e4f64d87f6d5fa86565c05a724b3d4503a2f97eb93
TimeMixer,RR,Yearly,373c736adb6f50a51e1c5caa6840abcf8135b2aa0c921e20ea009d7c029e9fa0
TimeMixer,RR,Quarterly,be0722fc87f90303e593bc7e5351918b32cf7765c831f980ca2fe75f52f8f94e
TimeMixer,RR,Monthly,3b7476e47bfebb2697601228b5da22f412c3bbd43226b48d3f5663f63e242adb
TimeMixer,RR,Weekly,cd2425d535bbebbbf0a2a7195386766dda96b38e3e31cce32d65f41551fb389e
TimeMixer,RR,Daily,4ee105ab9eeda4ce3edd27381c8077f910ed075da374f8317f3b0d2b69bc14a9
TimeMixer,RR,Hourly,67067b492a22ed4f5033985dd1d58fcb143fe190e1e2464731f5b03a645734ed
TimesNet,NN,Yearly,67a5b516f2b1f4507b8c73ff23669305ab20301fd5a12ad588b0ab382818501f
TimesNet,NN,Quarterly,99391e89ca0c9050625272c649aa89d53c4aaf9fae6ad68bd64ccf251f94887d
TimesNet,NN,Monthly,bcb3c28a919de2daed8e65a9a4e5fa628870310e9fa64866bb56f6bd1d855301
TimesNet,NN,Weekly,8bdf59c1fdbdf5f3caed8738bf6dd84b2f51098ca94a3d0cddd20ef448dadd11
TimesNet,NN,Daily,a3ff376591b37bb999c5fae708d87989ed675a42ba77e2946455413a3bb288ba
TimesNet,NN,Hourly,35ff03b32039c129ea8fdee16bc477fd51c5985ddde4b6fddc691f26ee29afe8
TimesNet,NR,Yearly,33ac54237118c6d7efa65a6386627c37c388af825018aeab930874d83a732862
TimesNet,NR,Quarterly,7955918d1ae6915bb83e26586102e931e94588fb4ee20d50ed2f58859622d786
TimesNet,NR,Monthly,3443d6bf1da15bca4c8431b16d9df4e9138cd92ef27e79665865d33f7e540c78
TimesNet,NR,Weekly,ebf98b5cb37d82f533a018b8b172127eae8f9281e8cda058fce03c4d6faa9c21
TimesNet,NR,Daily,f6ac5ddcc05e27d31e986f701b845546041e9a5d20b53a7ce0ae008330ccb661
TimesNet,NR,Hourly,78320214133b4b32737385920323d6ed083aeff319c33286f3db7c325e6a051a
TimesNet,RN,Yearly,dc915ca8820aaf4774c08564024277d63e3754435c8b9814147e9b9e9b37a755
TimesNet,RN,Quarterly,4f0b229d9f3cba6efa3ed43e6203ce2014aea0bbcea72d2fef2b4a88b9b8375b
TimesNet,RN,Monthly,4ce2f06e539d2c11ab3e3fc4bcb48813dbd050205fe0473ec0468486c13bdeab
TimesNet,RN,Weekly,3b02179f1404cdb14bf8a63ee591f11a97d0eebfcd0d51053abf43e62a8378b5
TimesNet,RN,Daily,d781bc9e5b386c7d073e55d5b91f2da8e02e5cddf495008dddd7771b9b2adfd8
TimesNet,RN,Hourly,c93d33c48208c268fe5188e58507284d6bb2d6fddcd126c597642427a8e1a712
TimesNet,RR,Yearly,5eddb9e45bc0f2d9c80845833e87f45aff9f605f4fa56543b4db53e8bf093a19
TimesNet,RR,Quarterly,6b9483b098fc1893fc92362fbdfa6ddcf6bba270769b8a5e5503b3540176e2e2
TimesNet,RR,Monthly,6231ded1d855bd5287bb0f883c52097dd4bd8ae5512c626a812be6bc73760656
TimesNet,RR,Weekly,b7dc02d0c360f524bf3b5e0ea4c199faab7a629825d6c964954d8159897a3675
TimesNet,RR,Daily,4c88740fb5527ec82b8a35297786d10a5803a538cde4215644ce01d3b1e86195
TimesNet,RR,Hourly,4e290faea5bb80ff0d9fefe15b69fb7f4526843678b5975abbb4a6a7c9a03b0b
iTransformer,NN,Yearly,637b86b68a01d5ae70f4a587029cc56c956aa138a9e0078428f4ff4ceb00115d
iTransformer,NN,Quarterly,fb68d8c1abbd8a98782cddc5a5710f834f44ffd2291b689f8e72b48beab0c808
iTransformer,NN,Monthly,d04242d3b2911d769a6acdb7dca0595e019142d1f45433caf68d7f1a83767d6f
iTransformer,NN,Weekly,01d3a36460a360d532329af2e9d6473a80494969132ef1b09f84f7afb7121382
iTransformer,NN,Daily,b57b19eab98e5c2608d324bbb082269da7bfb0d8792a467957bc1481ba0b2809
iTransformer,NN,Hourly,d1bdc27397acc005d6265c78d3dd7647be284434887af5a027e503c6b4b3dbbd
iTransformer,NR,Yearly,c666f39f3bce5f37b506349228d30ff1b29633df5042d27fd183e3a017a49713
iTransformer,NR,Quarterly,4c1c3f1ef24671da49bf02f1604803d98d0f17e453bfd3d1a41b92a823d21eba
iTransformer,NR,Monthly,ac40a10bd80a05233d5850cbf52d48c5ce32c00627dbc8d45061212069269aa1
iTransformer,NR,Weekly,01d3a36460a360d532329af2e9d6473a80494969132ef1b09f84f7afb7121382
iTransformer,NR,Daily,b57b19eab98e5c2608d324bbb082269da7bfb0d8792a467957bc1481ba0b2809
iTransformer,NR,Hourly,ae663c32a1b09722d10b0e0ae501c0018df57e10c57b9be610d8397d95fbd9f9
iTransformer,RN,Yearly,b9a5e8eef7f12927f6a5aa3f469bf3e643f3a7a6cc06e182efa38493411f0fee
iTransformer,RN,Quarterly,f3d895a9d18edb7ddb8e9c0eb043f96442ba1f3c59e0e8d963142bf27f5999cb
iTransformer,RN,Monthly,81924fc8476998ce0e7668430dbe232bc87c0dd429ce291513a2be1d1146e24f
iTransformer,RN,Weekly,fa5e1f15afd9e5fc10681fa8b89bd947a1546d0885d7e05cf835e9dc89c857a6
iTransformer,RN,Daily,b00a22d0f37d41a4edc2366ddb2b646152b96b59f3f9a96ae2d759cab49716b7
iTransformer,RN,Hourly,28ad2abe59fe05f2888784d3282da2b10e818f5b3045af869db87aaace3dcc42
iTransformer,RR,Yearly,b9a5e8eef7f12927f6a5aa3f469bf3e643f3a7a6cc06e182efa38493411f0fee
iTransformer,RR,Quarterly,f3d895a9d18edb7ddb8e9c0eb043f96442ba1f3c59e0e8d963142bf27f5999cb
iTransformer,RR,Monthly,81924fc8476998ce0e7668430dbe232bc87c0dd429ce291513a2be1d1146e24f
iTransformer,RR,Weekly,bbdc4728a10f10c077f926ed98600dcb23695e96f40532f440efa010bb06348e
iTransformer,RR,Daily,b00a22d0f37d41a4edc2366ddb2b646152b96b59f3f9a96ae2d759cab49716b7
iTransformer,RR,Hourly,fe70da3cf863f117a946c5ea6ef07965256a70dcdf23396bc2fa2ede67749709
